"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","39","testDampingTypes","","","passed","","","[R2025a] designTest","designTest",""
"","2260","exampleRunsWithoutWarningTest(example=BuildPlanDetails)","","","passed","","","[R2025a] exampleTest","exampleTest",""
"","18","testOvershoot","","","passed","","","[R2024a] designTest","designTest",""
"","1465","exampleRunsWithoutWarningTest(example=gettingStarted)","","","passed","","","[R2025a] exampleTest","exampleTest",""
"","106","testInvalidInput","","","passed","","","[R2024b] designTest","designTest",""
"","2462","exampleRunsWithoutWarningTest(example=BuildPlanDetails)","","","passed","","","[R2024b] exampleTest","exampleTest",""
"","3545","exampleRunsWithoutWarningTest(example=gettingStarted)","","","passed","","","[R2024b] exampleTest","exampleTest",""
"","17","testOvershoot","","","passed","","","[R2024b] designTest","designTest",""
"","104","testInvalidInput","","","passed","","","[R2024a] designTest","designTest",""
"","40","testDampingTypes","","","passed","","","[R2024a] designTest","designTest",""
"","83","testInvalidInput","","","passed","","","[R2025a] designTest","designTest",""
"","1693","MatchesConvBaseline","","","broken","","","[R2024b] convecTest","convecTest",""
"","613","MatchesConvBaseline","","","broken","","","[R2025a] convecTest","convecTest",""
"","908","exampleRunsWithoutWarningTest(example=BuildPlanDetails)","","","broken","","","[R2024a] exampleTest","exampleTest",""
"","42","testDampingTypes","","","passed","","","[R2024b] designTest","designTest",""
"","325","testSettlingTime","","","passed","","","[R2024a] designTest","designTest",""
"","337","testSettlingTime","","","passed","","","[R2024b] designTest","designTest",""
"","17","testOvershoot","","","passed","","","[R2025a] designTest","designTest",""
"","1675","MatchesConvBaseline","","","broken","","","[R2024a] convecTest","convecTest",""
"","280","testSettlingTime","","","passed","","","[R2025a] designTest","designTest",""
"","1477","exampleRunsWithoutWarningTest(example=gettingStarted)","","","passed","","","[R2024a] exampleTest","exampleTest",""
